wavelength_A,flux
1.756400000000006912e+03,7.623568933766878148e-13
1.757800000000007003e+03,7.361774909994988176e-13
1.759200000000007094e+03,7.389278022566708949e-13
1.760600000000007185e+03,7.378422446150506789e-13
1.762000000000007276e+03,7.398027424244465083e-13
1.763400000000007367e+03,7.564915989596248486e-13
1.764800000000007458e+03,7.438233088612404107e-13
1.766200000000007549e+03,7.512722116290821657e-13
1.767600000000007640e+03,7.428033767612775049e-13
1.769000000000007731e+03,7.315190211900010899e-13
1.770400000000007822e+03,7.449521500102856360e-13
1.771800000000007913e+03,7.481916150381631054e-13
1.773200000000008004e+03,7.402877055052053019e-13
1.774600000000008095e+03,7.193206938043100872e-13
1.776000000000008185e+03,7.216507713557582731e-13
1.777400000000008276e+03,7.313188880961944876e-13
1.778800000000008367e+03,7.348396543810492524e-13
1.780200000000008458e+03,7.349151344111406650e-13
1.781600000000008549e+03,7.261312985402635082e-13
1.783000000000008640e+03,7.214041500136532343e-13
1.784400000000008731e+03,7.224154293222211033e-13
1.785800000000008822e+03,7.357780047169668254e-13
1.787200000000008913e+03,7.545728975201214524e-13
1.788600000000009004e+03,7.733677903232760794e-13
1.790000000000009095e+03,7.921626831264306055e-13
1.791400000000009186e+03,7.503991939967760399e-13
1.792800000000009277e+03,6.872803633035738381e-13
1.794200000000009368e+03,6.803107296143134215e-13
1.795600000000009459e+03,6.892569114777045943e-13
1.797000000000009550e+03,6.950494300332275444e-13
1.798400000000009641e+03,7.001448114053464517e-13
1.799800000000009732e+03,7.052401927774653591e-13
1.801200000000009823e+03,7.086446046664027343e-13
1.802600000000009913e+03,7.020224868983289906e-13
1.804000000000010004e+03,6.638095414308785036e-13
1.805400000000010095e+03,6.437054447024606967e-13
1.806800000000010186e+03,6.249726233661825934e-13
1.808200000000010277e+03,6.526693246328044074e-13
1.809600000000010368e+03,6.806725224993891957e-13
1.811000000000010459e+03,6.686617153188982208e-13
1.812400000000010550e+03,6.980111557827411336e-13
1.813800000000010641e+03,6.977249418722072203e-13
1.815200000000010732e+03,6.929043547895587048e-13
1.816600000000010823e+03,6.549968455757245648e-13
1.818000000000010914e+03,6.900968078968852289e-13
1.819400000000011005e+03,6.904943504907253084e-13
1.820800000000011096e+03,6.901661150254629412e-13
1.822200000000011187e+03,6.864343576504947541e-13
1.823600000000011278e+03,6.827026002755265671e-13
1.825000000000011369e+03,6.791963922132362639e-13
1.826400000000011460e+03,6.713607900402879474e-13
1.827800000000011551e+03,6.548755937937552628e-13
1.829200000000011642e+03,6.547051889526808117e-13
1.830600000000011732e+03,6.561694711492037588e-13
1.832000000000011823e+03,6.612086756049817542e-13
1.833400000000011914e+03,6.626326439652070975e-13
1.834800000000012005e+03,6.577199240443716331e-13
1.836200000000012096e+03,6.559431225796202690e-13
1.837600000000012187e+03,6.568410280734048556e-13
1.839000000000012278e+03,6.523305624434291359e-13
1.840400000000012369e+03,6.406584603901615848e-13
1.841800000000012460e+03,6.396636374223607411e-13
1.843200000000012551e+03,6.543995809411902927e-13
1.844600000000012642e+03,6.515077154215850709e-13
1.846000000000012733e+03,6.417490793712616329e-13
1.847400000000012824e+03,6.409092275967137116e-13
1.848800000000012915e+03,6.477441098504786772e-13
1.850200000000013006e+03,6.387735785050389630e-13
1.851600000000013097e+03,6.091737868043969271e-13
1.853000000000013188e+03,5.737386363707788679e-13
1.854400000000013279e+03,5.801268130478928032e-13
1.855800000000013370e+03,6.170914264850479596e-13
1.857200000000013461e+03,6.300440588352856832e-13
1.858600000000013551e+03,6.316081115478581580e-13
1.860000000000013642e+03,6.140450897245169550e-13
1.861400000000013733e+03,5.890564915425396032e-13
1.862800000000013824e+03,6.005944192247445149e-13
1.864200000000013915e+03,5.959491811688886725e-13
1.865600000000014006e+03,6.056655949250078024e-13
1.867000000000014097e+03,6.380218463842994338e-13
1.868400000000014188e+03,6.289521056011293817e-13
1.869800000000014279e+03,6.233295825712346213e-13
1.871200000000014370e+03,6.196112369194978634e-13
1.872600000000014461e+03,6.141587084742987047e-13
1.874000000000014552e+03,6.128332251977298601e-13
1.875400000000014643e+03,6.118816119172728021e-13
1.876800000000014734e+03,6.109299986368158450e-13
1.878200000000014825e+03,6.110652483268372027e-13
1.879600000000014916e+03,6.038263032627477352e-13
1.881000000000015007e+03,6.150016074266700992e-13
1.882400000000015098e+03,6.033686762927764923e-13
1.883800000000015189e+03,6.012404080147869117e-13
1.885200000000015280e+03,5.893554496216108370e-13
1.886600000000015370e+03,5.888563887968828972e-13
1.888000000000015461e+03,5.883573279721550585e-13
1.889400000000015552e+03,5.878582671474271187e-13
1.890800000000015643e+03,5.873592063226992800e-13
1.892200000000015734e+03,5.858698399270177043e-13
1.893600000000015825e+03,5.851474527136923464e-13
1.895000000000015916e+03,5.999053624166693931e-13
1.896400000000016007e+03,5.951087845570971483e-13
1.897800000000016098e+03,5.714341950153164505e-13
1.899200000000016189e+03,5.756590037673249538e-13
1.900600000000016280e+03,5.804056897852241531e-13
1.902000000000016371e+03,5.749936480869455541e-13
1.903400000000016462e+03,5.597915087428474558e-13
1.904800000000016553e+03,5.635523489020112393e-13
1.906200000000016644e+03,5.745366913585984362e-13
1.907600000000016735e+03,5.773341284580711447e-13
1.909000000000016826e+03,5.650659833357364567e-13
1.910400000000016917e+03,5.546385540481252032e-13
1.911800000000017008e+03,5.516658046720157712e-13
1.913200000000017099e+03,5.486930552959063392e-13
1.914600000000017189e+03,5.457203059197968062e-13
1.916000000000017280e+03,5.521842304272860768e-13
1.917400000000017371e+03,5.624856769208016204e-13
1.918800000000017462e+03,5.629918232807506872e-13
1.920200000000017553e+03,5.590516183602078489e-13
1.921600000000017644e+03,5.489501218701322038e-13
1.923000000000017735e+03,5.547290347492983669e-13
1.924400000000017826e+03,5.730199839811226911e-13
1.925800000000017917e+03,5.611277344036430046e-13
1.927200000000018008e+03,5.531062871560564742e-13
1.928600000000018099e+03,5.547094868242661139e-13
1.930000000000018190e+03,5.596149260134787018e-13
1.931400000000018281e+03,5.585456354415646645e-13
1.932800000000018372e+03,5.547818914978931110e-13
1.934200000000018463e+03,5.548584902278938904e-13
1.935600000000018554e+03,5.740636058612240430e-13
1.937000000000018645e+03,5.573641791383685970e-13
1.938400000000018736e+03,5.492078090939804189e-13
1.939800000000018827e+03,5.448872820225072853e-13
1.941200000000018917e+03,5.405667549510341517e-13
1.942600000000019008e+03,5.362462278795610181e-13
1.944000000000019099e+03,5.612436017448947878e-13
1.945400000000019190e+03,5.576335170862624418e-13
1.946800000000019281e+03,5.403099479046501488e-13
1.948200000000019372e+03,5.408030516328985757e-13
1.949600000000019463e+03,5.420646462338181690e-13
1.951000000000019554e+03,5.279873977169392703e-13
1.952400000000019645e+03,5.527356314421997652e-13
1.953800000000019736e+03,5.421118332573388888e-13
1.955200000000019827e+03,5.323940024083290865e-13
1.956600000000019918e+03,5.339340558738154299e-13
1.958000000000020009e+03,5.354741093393018743e-13
1.959400000000020100e+03,5.389780260589684568e-13
1.960800000000020191e+03,5.522478463780855486e-13
1.962200000000020282e+03,5.474883903741685890e-13
1.963600000000020373e+03,5.423793328993445997e-13
1.965000000000020464e+03,5.359741818991399596e-13
1.966400000000020555e+03,5.343860213866086492e-13
1.967800000000020646e+03,5.502645089579964609e-13
1.969200000000020736e+03,5.627348134753327978e-13
1.970600000000020827e+03,5.388332023507962752e-13
1.972000000000020918e+03,5.280707779361657687e-13
1.973400000000021009e+03,5.185537691642706718e-13
1.974800000000021100e+03,5.090367603923754738e-13
1.976200000000021191e+03,5.054286350280613326e-13
1.977600000000021282e+03,5.044060081760149166e-13
1.979000000000021373e+03,5.029951374569242036e-13
1.980400000000021464e+03,5.181015805249656793e-13
1.981800000000021555e+03,5.201400826671126478e-13
